  PID  PPID CMD                         %MEM
 1645  1393 kube-apiserver --advertise-  5.9
 2699  2554 /usr/local/bin/python3.10 /  2.6
 1638  1400 kube-controller-manager --a  2.2
 2743  2589 /usr/local/bin/python3.9 /u  2.0
 1057     1 /usr/bin/kubelet --bootstra  2.0
 1631  1408 etcd --advertise-client-url  1.8
 1103     1 /usr/bin/dockerd -H fd:// -  1.7
  887     1 /usr/bin/containerd          1.3
 1652  1404 kube-scheduler --authentica  0.9

